CREATION_DATE = 2018-05-07T18:52:33
ORIGINATOR = Astos Solutions GmbH

META_START
META_STOP

DATA_START
        JC           Period           x              z            dy/dt

   3.4153807183   3.1641780205   1.1808568117  -0.0032736457  -0.1558874788
   3.4146052866   3.1638474906   1.1807641194  -0.0102736457  -0.1564351252
   3.4130268560   3.1631769193   1.1805734240  -0.0172730320  -0.1575332120
   3.4106421303   3.1621695199   1.1802804460  -0.0242704340  -0.1591511489
   3.4074457153   3.1608300602   1.1798792347  -0.0312643002  -0.1612458394
   3.4034294600   3.1591647015   1.1793626524  -0.0382527928  -0.1637648862
   3.3985816998   3.1571808346   1.1787228890  -0.0452337056  -0.1666499678
   3.3928864385   3.1548869294   1.1779519375  -0.0522044087  -0.1698399677
   3.3863224771   3.1522924058   1.1770419876  -0.0591618245  -0.1732735831
   3.3788624743   3.1494075280   1.1759857143  -0.0661024290  -0.1768912993

DATA_STOP
