CREATION_DATE        =      2018-05-21T13:44:47
ORIGINATOR           =      ASTOS SOLUTIONS GMBH

META_START
LAGRANGIAN           =      L1
ORBIT NUMBER         =      10000
ORBIT DISTANCE       =      0.000100
MASS RATIO           =      0.0121439878
META_STOP

DATA_START

        JC           Period           x              z            dy/dt

   3.1822141968   2.7431145892   0.8234243308  -0.0029876370   0.1264547530
   3.1822102439   2.7431187620   0.8234242836  -0.0030876370   0.1264648667
   3.1822061610   2.7431230720   0.8234242350  -0.0031876370   0.1264753120
   3.1822019480   2.7431275191   0.8234241849  -0.0032876370   0.1264860887
   3.1821976051   2.7431321033   0.8234241335  -0.0033876370   0.1264971966
   3.1821931321   2.7431368246   0.8234240806  -0.0034876370   0.1265086356
   3.1821885292   2.7431416829   0.8234240264  -0.0035876369   0.1265204056
   3.1821837963   2.7431466783   0.8234239708  -0.0036876369   0.1265325063
   3.1821789334   2.7431518107   0.8234239138  -0.0037876369   0.1265449377
   3.1821739406   2.7431570801   0.8234238555  -0.0038876369   0.1265576995
   3.1821688178   2.7431624865   0.8234237959  -0.0039876369   0.1265707916
   3.1821635651   2.7431680298   0.8234237349  -0.0040876369   0.1265842139
   3.1821581825   2.7431737100   0.8234236726  -0.0041876368   0.1265979661
   3.1821526699   2.7431795271   0.8234236091  -0.0042876368   0.1266120481
   3.1821470275   2.7431854811   0.8234235443  -0.0043876368   0.1266264597
   3.1821412552   2.7431915719   0.8234234782  -0.0044876368   0.1266412006
   3.1821353531   2.7431977994   0.8234234109  -0.0045876368   0.1266562708
   3.1821293211   2.7432041638   0.8234233423  -0.0046876367   0.1266716699
   3.1821231592   2.7432106649   0.8234232726  -0.0047876367   0.1266873979
   3.1821168676   2.7432173027   0.8234232016  -0.0048876367   0.1267034545
   3.1821104461   2.7432240771   0.8234231295  -0.0049876367   0.1267198394
   3.1821038949   2.7432309882   0.8234230563  -0.0050876366   0.1267365525
   3.1820972138   2.7432380359   0.8234229819  -0.0051876366   0.1267535936
