CREATION_DATE            =      2018-05-27T21:56:05
ORIGINATOR               =      ASTOS SOLUTIONS GMBH

META_START
TYPE			 =	FAMILY
NAME FIRST PRIMARY       =      Earth
MASS FIRST PRIMARY       =      5.972370e+24
NAME SECOND PRIMARY      =      Moon
MASS SECOND PRIMARY      =      7.342000e+22
PRIMARY DISTANCE         =      3.844020e+08
MASS RATIO               =      0.0121439878
LAGRANGIAN               =      L1
ORBIT NUMBER             =      709
ORBIT DISTANCE           =      0.001000
META_STOP

DATA_START
        JC           Period           x              z            dy/dt
   3.1822141968   2.7431145892   0.8234243308  -0.0029876370   0.1264547530
   3.1821688178   2.7431624865   0.8234237959  -0.0039876370   0.1265707917
   3.1821104461   2.7432240771   0.8234231295  -0.0049876369   0.1267198394
   3.1820390958   2.7432993309   0.8234223481  -0.0059876366   0.1269017008
   3.1819547840   2.7433882111   0.8234214713  -0.0069876363   0.1271161388
   3.1818575308   2.7434906752   0.8234205221  -0.0079876359   0.1273628765
   3.1817473595   2.7436066723   0.8234195271  -0.0089876355   0.1276415965
   3.1816242959   2.7437361461   0.8234185154  -0.0099876350   0.1279519445
   3.1814883690   2.7438790382   0.8234175190  -0.0109876345   0.1282935339
   3.1813396108   2.7440352738   0.8234165733  -0.0119876340   0.1286659355
   3.1811780430   2.7442046253   0.8234157047  -0.0129876335   0.1290688189
   3.1810037364   2.7443872691   0.8234149824  -0.0139876332   0.1295013716
   3.1808167050   2.7445830717   0.8234144249  -0.0149876329   0.1299633316
   3.1806169967   2.7447918772   0.8234140811  -0.0159876327   0.1304541070
   3.1804046564   2.7450135858   0.8234139968  -0.0169876327   0.1309731316
   3.1801797319   2.7452480918   0.8234142192  -0.0179876327   0.1315198173
   3.1799422732   2.7454952833   0.8234147969  -0.0189876327   0.1320935563
   3.1796923325   2.7457550425   0.8234157796  -0.0199876325   0.1326937237
   3.1794299645   2.7460272461   0.8234172178  -0.0209876320   0.1333196787
   3.1791552258   2.7463117647   0.8234191630  -0.0219876310   0.1339707675
   3.1788681668   2.7466084749   0.8234216593  -0.0229876291   0.1346464065
   3.1785688674   2.7469172042   0.8234247757  -0.0239876260   0.1353457393
   3.1782573786   2.7472378377   0.8234285539  -0.0249876211   0.1360681982
   3.1779337665   2.7475702134   0.8234330475  -0.0259876140   0.1368130827
   3.1775981052   2.7479141159   0.8234383170  -0.0269876039   0.1375796278
