CREATION_DATE            =      2018-05-27T22:26:32
ORIGINATOR               =      ASTOS SOLUTIONS GMBH

META_START
NAME FIRST PRIMARY       =      Earth
MASS FIRST PRIMARY       =      5.972370e+24
NAME SECOND PRIMARY      =      Moon
MASS SECOND PRIMARY      =      7.342000e+22
PRIMARY DISTANCE         =      3.844020e+08
MASS RATIO               =      0.0121439878
LAGRANGIAN               =      L2
ORBIT NUMBER             =      321
ORBIT DISTANCE           =      0.001000
META_STOP

DATA_START
        JC           Period           x              z            dy/dt
   3.1641780275   3.4153805746   1.1808568011  -0.0032736457  -0.1558874119
   3.1641517036   3.4153188785   1.1808494517  -0.0042736455  -0.1559311885
   3.1641184093   3.4152408305   1.1808401483  -0.0052736185  -0.1559865176
   3.1640781478   3.4151464273   1.1808288861  -0.0062735752  -0.1560533663
   3.1640309234   3.4150356656   1.1808156597  -0.0072735118  -0.1561316943
   3.1639767412   3.4149085419   1.1808004624  -0.0082734243  -0.1562214545
   3.1639156042   3.4147650914   1.1807832899  -0.0092733088  -0.1563226156
   3.1638475251   3.4146052293   1.1807641268  -0.0102731614  -0.1564350641
   3.1637725069   3.4144289901   1.1807429687  -0.0112729777  -0.1565587685
   3.1636905576   3.4142363676   1.1807198054  -0.0122727539  -0.1566936557
   3.1636016772   3.4140273473   1.1806946361  -0.0132724856  -0.1568397225
   3.1635058944   3.4138019420   1.1806674266  -0.0142721688  -0.1569967118
   3.1634032075   3.4135601304   1.1806381780  -0.0152717985  -0.1571646362
   3.1632936386   3.4133017182   1.1806068638  -0.0162713707  -0.1573432992
   3.1631771784   3.4130270784   1.1805734941  -0.0172708803  -0.1575327780
   3.1630538493   3.4127360053   1.1805380420  -0.0182703234  -0.1577328751
   3.1629236639   3.4124284878   1.1805004923  -0.0192696947  -0.1579434774
   3.1627866356   3.4121045140   1.1804608289  -0.0202689895  -0.1581644668
   3.1626427784   3.4117640709   1.1804190351  -0.0212682026  -0.1583957203
   3.1624921069   3.4114071448   1.1803750937  -0.0222673289  -0.1586371103
   3.1623346364   3.4110337210   1.1803289868  -0.0232663630  -0.1588885044
   3.1621703827   3.4106437836   1.1802806959  -0.0242652995  -0.1591497663
   3.1619993521   3.4102375121   1.1802302138  -0.0252641328  -0.1594208441
   3.1618215818   3.4098145051   1.1801774981  -0.0262628578  -0.1597014183
   3.1616370880   3.4093749404   1.1801225311  -0.0272614673  -0.1599913563
   3.1614458736   3.4089187842   1.1800653098  -0.0282599555  -0.1602906388
   3.1612479662   3.4084459804   1.1800058034  -0.0292583170  -0.1605990346
   3.1610433829   3.4079565838   1.1799439936  -0.0302565449  -0.1609164051
   3.1608321450   3.4074505341   1.1798798577  -0.0312546329  -0.1612425794
   3.1606142669   3.4069277555   1.1798133807  -0.0322525741  -0.1615774453
   3.1603897730   3.4063882718   1.1797445368  -0.0332503620  -0.1619208078
   3.1601586865   3.4058320491   1.1796733021  -0.0342479895  -0.1622724845
   3.1599210355   3.4052590980   1.1795996481  -0.0352454490  -0.1626322565
   3.1596768484   3.4046695362   1.1795235467  -0.0362427329  -0.1629999046
   3.1594261253   3.4040629432   1.1794449989  -0.0372398330  -0.1633754459
   3.1591689013   3.4034395093   1.1793639696  -0.0382367433  -0.1637586072
   3.1589052006   3.4027991884   1.1792804362  -0.0392334550  -0.1641492131
   3.1586350477   3.4021419335   1.1791943758  -0.0402299600  -0.1645470849
   3.1583584677   3.4014677053   1.1791057653  -0.0412262499  -0.1649520446
   3.1580754732   3.4007762777   1.1790145945  -0.0422223163  -0.1653640162
   3.1577861233   3.4000680389   1.1789208065  -0.0432181516  -0.1657825463
   3.1574904073   3.3993425588   1.1788244184  -0.0442137438  -0.1662077665
   3.1571883766   3.3985999986   1.1787253793  -0.0452090876  -0.1666392834
   3.1568800506   3.3978402413   1.1786236760  -0.0462041711  -0.1670769866
   3.1565654565   3.3970632354   1.1785192857  -0.0471989859  -0.1675206957
   3.1562446225   3.3962689281   1.1784121861  -0.0481935223  -0.1679702300
   3.1559175833   3.3954573526   1.1783023474  -0.0491877706  -0.1684253547
   3.1555843551   3.3946282801   1.1781897620  -0.0501817200  -0.1688859971
   3.1552449729   3.3937817333   1.1780744007  -0.0511753621  -0.1693519255
   3.1548994664   3.3929176512   1.1779562416  -0.0521686857  -0.1698229607
   3.1545478655   3.3920359693   1.1778352632  -0.0531616804  -0.1702989245
   3.1541902003   3.3911366211   1.1777114441  -0.0541543355  -0.1707796396
   3.1538265016   3.3902195372   1.1775847632  -0.0551466403  -0.1712649295
   3.1534568003   3.3892846460   1.1774551996  -0.0561385838  -0.1717546189
   3.1530811275   3.3883318730   1.1773227326  -0.0571301549  -0.1722485335
   3.1526995149   3.3873611411   1.1771873420  -0.0581213424  -0.1727465001
   3.1523119945   3.3863723706   1.1770490076  -0.0591121347  -0.1732483469
   3.1519185985   3.3853654788   1.1769077097  -0.0601025202  -0.1737539034
   3.1515193594   3.3843403801   1.1767634288  -0.0610924874  -0.1742630004
   3.1511143101   3.3832969862   1.1766161457  -0.0620820241  -0.1747754702
   3.1507034838   3.3822352056   1.1764658416  -0.0630711185  -0.1752911467
   3.1502869139   3.3811549438   1.1763124979  -0.0640597583  -0.1758098652
   3.1498646343   3.3800561031   1.1761560965  -0.0650479312  -0.1763314628
   3.1494366789   3.3789385828   1.1759966193  -0.0660356248  -0.1768557780
   3.1490030820   3.3778022786   1.1758340489  -0.0670228264  -0.1773826511
   3.1485638783   3.3766470830   1.1756683681  -0.0680095234  -0.1779119243
   3.1481191129   3.3754729027   1.1754995491  -0.0689957028  -0.1784433605
   3.1476688012   3.3742795916   1.1753275972  -0.0699813499  -0.1789769658
   3.1472129872   3.3730670434   1.1751524848  -0.0709664552  -0.1795125089
   3.1467517180   3.3718352365   1.1749741874  -0.0719510037  -0.1800497594
   3.1462850096   3.3705838602   1.1747927071  -0.0729349803  -0.1805887209
   3.1458129066   3.3693128711   1.1746080196  -0.0739183749  -0.1811291729
   3.1453354462   3.3680221380   1.1744201102  -0.0749011722  -0.1816709693
   3.1448526650   3.3667115236   1.1742289644  -0.0758833586  -0.1822139667
   3.1443645954   3.3653808214   1.1740345715  -0.0768649202  -0.1827580557
   3.1438712828   3.3640300130   1.1738369103  -0.0778458440  -0.1833030339
   3.1433727610   3.3626588874   1.1736359710  -0.0788261144  -0.1838487937
   3.1428690671   3.3612672896   1.1734317400  -0.0798057181  -0.1843951997
   3.1423602388   3.3598550607   1.1732242044  -0.0807846408  -0.1849421178
   3.1418463140   3.3584220375   1.1730133515  -0.0817628683  -0.1854894159
   3.1413273309   3.3569680518   1.1727991687  -0.0827403860  -0.1860369635
   3.1408033278   3.3554929308   1.1725816439  -0.0837171796  -0.1865846323
   3.1402743377   3.3539964579   1.1723607707  -0.0846932344  -0.1871323373
   3.1397404064   3.3524784674   1.1721365282  -0.0856685370  -0.1876798922
   3.1392015749   3.3509388486   1.1719089075  -0.0866430704  -0.1882271731
   3.1386578789   3.3493773525   1.1716778989  -0.0876168202  -0.1887740793
   3.1381093573   3.3477937797   1.1714434917  -0.0885897719  -0.1893204914
   3.1375560498   3.3461879258   1.1712056751  -0.0895619104  -0.1898662916
   3.1369979959   3.3445595806   1.1709644389  -0.0905332205  -0.1904113640
   3.1364352354   3.3429085281   1.1707197728  -0.0915036869  -0.1909555943
   3.1358678084   3.3412345461   1.1704716670  -0.0924732943  -0.1914988698
   3.1352957549   3.3395374066   1.1702201116  -0.0934420273  -0.1920410795
   3.1347191152   3.3378168750   1.1699650971  -0.0944098702  -0.1925821141
   3.1341379298   3.3360727102   1.1697066141  -0.0953768074  -0.1931218659
   3.1335522427   3.3343047033   1.1694446512  -0.0963428232  -0.1936602062
   3.1329620880   3.3325125201   1.1691792041  -0.0973079012  -0.1941970764
   3.1323675095   3.3306959386   1.1689102610  -0.0982720266  -0.1947323502
   3.1317685486   3.3288546897   1.1686378135  -0.0992351827  -0.1952659260
   3.1311652464   3.3269884946   1.1683618527  -0.1001973533  -0.1957977037
   3.1305576444   3.3250970737   1.1680823701  -0.1011585222  -0.1963275841
   3.1299457840   3.3231801355   1.1677993573  -0.1021186730  -0.1968554701
   3.1293297069   3.3212373806   1.1675128057  -0.1030777891  -0.1973812658
   3.1287094513   3.3192684330   1.1672227100  -0.1040358539  -0.1979049007
   3.1280850653   3.3172731089   1.1669290559  -0.1049928515  -0.1984262346
   3.1274565889   3.3152510217   1.1666318384  -0.1059487633  -0.1989451976
   3.1268240635   3.3132018361   1.1663310491  -0.1069035731  -0.1994616994
   3.1261875315   3.3111252094   1.1660266796  -0.1078572637  -0.1999756505
   3.1255470354   3.3090207899   1.1657187217  -0.1088098177  -0.2004869620
   3.1249026176   3.3068882159   1.1654071671  -0.1097612177  -0.2009955468
   3.1242543208   3.3047271159   1.1650920075  -0.1107114460  -0.2015013183
   3.1236021880   3.3025371084   1.1647732344  -0.1116604847  -0.2020041913
